X,Y
0.000000,1.000000
2.000000,3.000000
4.000000,5.000000
6.000000,7.000000
8.000000,9.000000
10.000000,11.000000
12.000000,13.000000
14.000000,15.000000
16.000000,17.000000
18.000000,19.000000
20.000000,21.000000
22.000000,23.000000
24.000000,25.000000
26.000000,27.000000
28.000000,29.000000
30.000000,31.000000
32.000000,33.000000
34.000000,35.000000
36.000000,37.000000
38.000000,39.000000
40.000000,41.000000
42.000000,43.000000
44.000000,45.000000
46.000000,47.000000
48.000000,49.000000
50.000000,-10.000000
-3.000000,8.000000
23.000000,42.000000
65.000000,92.000000
123.000000,158.000000
197.000000,240.000000
287.000000,338.000000
393.000000,452.000000
515.000000,582.000000
653.000000,728.000000
807.000000,890.000000
977.000000,1068.000000
1163.000000,1262.000000
1365.000000,1472.000000
1583.000000,1698.000000
1817.000000,1940.000000
2067.000000,2198.000000
2333.000000,2472.000000
2615.000000,2762.000000
2913.000000,3068.000000
3227.000000,3390.000000
3557.000000,3728.000000
3903.000000,4082.000000
4265.000000,4452.000000
4643.000000,4838.000000
5037.000000,5240.000000
