X,Y
2.000000,5663.000000
4.000000,7432.000000
6.000000,5304.000000
8.000000,7177.000000
10.000000,6113.000000
12.000000,4933.000000
14.000000,5710.000000
16.000000,6956.000000
18.000000,3512.000000
20.000000,4498.000000
22.000000,7484.000000
24.000000,4537.000000
26.000000,5821.000000
28.000000,7036.000000
30.000000,7508.000000
32.000000,5799.000000
34.000000,3077.000000
36.000000,2717.000000
38.000000,5630.000000
40.000000,5377.000000
42.000000,7353.000000
44.000000,6276.000000
46.000000,5860.000000
48.000000,5166.000000
50.000000,3850.000000
52.000000,7363.000000
54.000000,5256.000000
56.000000,2708.000000
58.000000,6041.000000
60.000000,5160.000000
62.000000,2858.000000
64.000000,7016.000000
66.000000,4218.000000
68.000000,3717.000000
70.000000,3140.000000
72.000000,4127.000000
74.000000,3717.000000
76.000000,5837.000000
78.000000,2909.000000
80.000000,3958.000000
82.000000,3992.000000
84.000000,6986.000000
86.000000,4809.000000
88.000000,6369.000000
90.000000,5608.000000
92.000000,6510.000000
94.000000,3164.000000
96.000000,7490.000000
98.000000,6842.000000
100.000000,2854.000000
8.000000,4854.000000
42.000000,4193.000000
92.000000,5774.000000
158.000000,3848.000000
240.000000,5687.000000
338.000000,5909.000000
452.000000,6014.000000
582.000000,5395.000000
728.000000,3484.000000
890.000000,6046.000000
1068.000000,5702.000000
1262.000000,4405.000000
1472.000000,6382.000000
1698.000000,6571.000000
1940.000000,7323.000000
2198.000000,8860.000000
2472.000000,8619.000000
2762.000000,9775.000000
3068.000000,5988.000000
3390.000000,7155.000000
3728.000000,8701.000000
4082.000000,11558.000000
4452.000000,11094.000000
4838.000000,9796.000000
5240.000000,9614.000000
5658.000000,8668.000000
6092.000000,12520.000000
6542.000000,11807.000000
7008.000000,10746.000000
7490.000000,12373.000000
7988.000000,11586.000000
8502.000000,15024.000000
9032.000000,13645.000000
9578.000000,17067.000000
10140.000000,13012.000000
10718.000000,17659.000000
11312.000000,17248.000000
11922.000000,17427.000000
12548.000000,18620.000000
13190.000000,19650.000000
13848.000000,17155.000000
14522.000000,21753.000000
15212.000000,18134.000000
15918.000000,20248.000000
16640.000000,20406.000000
17378.000000,24885.000000
18132.000000,21355.000000
18902.000000,24699.000000
19688.000000,25773.000000
20490.000000,26653.000000
