X,Y
2.000000,8742.980000
4.000000,8742.980000
6.000000,8742.980000
8.000000,8742.980000
10.000000,8742.980000
12.000000,8742.980000
14.000000,8742.980000
16.000000,8742.980000
18.000000,8742.980000
20.000000,8742.980000
22.000000,8742.980000
24.000000,8742.980000
26.000000,8742.980000
28.000000,8742.980000
30.000000,8742.980000
32.000000,8742.980000
34.000000,8742.980000
36.000000,8742.980000
38.000000,8742.980000
40.000000,8742.980000
42.000000,8742.980000
44.000000,8742.980000
46.000000,8742.980000
48.000000,8742.980000
50.000000,8742.980000
52.000000,8742.980000
54.000000,8742.980000
56.000000,8742.980000
58.000000,8742.980000
60.000000,8742.980000
62.000000,8742.980000
64.000000,8742.980000
66.000000,8742.980000
68.000000,8742.980000
70.000000,8742.980000
72.000000,8742.980000
74.000000,8742.980000
76.000000,8742.980000
78.000000,8742.980000
80.000000,8742.980000
82.000000,8742.980000
84.000000,8742.980000
86.000000,8742.980000
88.000000,8742.980000
90.000000,8742.980000
92.000000,8742.980000
94.000000,8742.980000
96.000000,8742.980000
98.000000,8742.980000
100.000000,8742.980000
8.000000,8742.980000
42.000000,8742.980000
92.000000,8742.980000
158.000000,8742.980000
240.000000,8742.980000
338.000000,8742.980000
452.000000,8742.980000
582.000000,8742.980000
728.000000,8742.980000
890.000000,8742.980000
1068.000000,8742.980000
1262.000000,8742.980000
1472.000000,8742.980000
1698.000000,8742.980000
1940.000000,8742.980000
2198.000000,8742.980000
2472.000000,8742.980000
2762.000000,8742.980000
3068.000000,8742.980000
3390.000000,8742.980000
3728.000000,8742.980000
4082.000000,8742.980000
4452.000000,8742.980000
4838.000000,8742.980000
5240.000000,8742.980000
5658.000000,8742.980000
6092.000000,8742.980000
6542.000000,8742.980000
7008.000000,8742.980000
7490.000000,8742.980000
7988.000000,8742.980000
8502.000000,8742.980000
9032.000000,8742.980000
9578.000000,8742.980000
10140.000000,8742.980000
10718.000000,8742.980000
11312.000000,8742.980000
11922.000000,8742.980000
12548.000000,8742.980000
13190.000000,8742.980000
13848.000000,8742.980000
14522.000000,8742.980000
15212.000000,8742.980000
15918.000000,8742.980000
16640.000000,8742.980000
17378.000000,8742.980000
18132.000000,8742.980000
18902.000000,8742.980000
19688.000000,8742.980000
20490.000000,8742.980000
